Company Name, Symbol, Market, Price, Shares, Offer Amount, Date Priced,
 GREEN BALLAST INC.,GBLL,OTCBB,$0.48,24450400,$11736192,4/20/2012,
 MIDSTATES PETROLEUM COMPANY INC.,MPO,New York Stock Exchange,$13,24000000,$312000000,4/20/2012,
 PROOFPOINT INC,PFPT,Nasdaq National Market,$13,6329421,$82282473,4/20/2012,
 SPLUNK INC,SPLK,Nasdaq National Market,$17,13500000,$229500000,4/19/2012,
 TUMI HOLDINGS INC.,TUMI,New York Stock Exchange,$18,18779865,$338037570,4/19/2012,
 SANDRIDGE ENERGY INC,SDR,New York Stock Exchange,$21,26000000,$546000000,4/18/2012,
 DIGITAL CINEMA DESTINATIONS CORP.,DCIN,Nasdaq SmallCap Market,$6.10,2200000,$13420000,4/17/2012,
 MRC GLOBAL INC.,MRC,New York Stock Exchange,$21,22727273,$477272733,4/12/2012,
 FORUM ENERGY TECHNOLOGIES INC.,FET,New York Stock Exchange,$20,18947366,$378947320,4/12/2012,
 OAKTREE CAPITAL GROUP LLC,OAK,New York Stock Exchange,$43,8843023,$380249989,4/12/2012,
 ERICKSON AIR-CRANE INC,EAC,Nasdaq National Market,$8,4800000,$38400000,4/11/2012,
 MISTER GOODY INC.,MSGO,OTCBB,$0.35,400000,$140000,4/10/2012,
 RETAIL PROPERTIES OF AMERICA INC.,RPAI,New York Stock Exchange,$8,31800000,$254400000,4/5/2012,
 FACEBOOK INC,FB,Nasdaq Global Market,$38,421233615,$16006877370,5/18/2012,
 EDWARDS GROUP LTD,EVAC,Nasdaq National Market,$8,12500000,$100000000,5/11/2012,
 IGNITE RESTAURANT GROUP INC.,IRG,Nasdaq National Market,$14,5769231,$80769234,5/11/2012,
 AUDIENCE INC,ADNC,Nasdaq National Market,$17,5270180,$89593060,5/10/2012,
 WAGEWORKS INC.,WAGE,New York Stock Exchange,$9,6500000,$58500000,5/10/2012,
 WESTERN ASSET MORTGAGE CAPITAL CORP,WMC,New York Stock Exchange,$20,8000000,$160000000,5/10/2012,
 ANTRIABIO INC.,FMYY,OTCBB,$0.05,786000,$39300,5/8/2012,
 TILLY'S INC.,TLYS,New York Stock Exchange,$15.50,8000000,$124000000,5/4/2012,
 PETROLOGISTICS LP,PDH,New York Stock Exchange,$17,35000000,$595000000,5/4/2012,
 PACIFIC COAST OIL TRUST,ROYT,New York Stock Exchange,$20,18500000,$370000000,5/3/2012,
 CARLYLE GROUP L.P.,CG,Nasdaq National Market,$22,30500000,$671000000,5/3/2012,
 EVERBANK FINANCIAL CORP,EVER,New York Stock Exchange,$10,19220000,$192200000,5/3/2012,
 SUPERNUS PHARMACEUTICALS INC,SUPN,Nasdaq National Market,$5,10000000,$50000000,5/1/2012,
 SERVICENOW INC.,NOW,New York Stock Exchange,$18,11650000,$209700000,6/29/2012,
 TESARO INC.,TSRO,Nasdaq National Market,$13.50,6000000,$81000000,6/28/2012,
 EXA CORP,EXA,Nasdaq National Market,$10,6250000,$62500000,6/28/2012,
 EQT MIDSTREAM PARTNERS LP,EQM,New York Stock Exchange,$21,12500000,$262500000,6/27/2012,
 CENCOSUD S.A.,CNCO,New York Stock Exchange,$15.61,15265783,$238298873,6/22/2012,
 GLOBAL GREEN INC.,GOGC,OTCBB,$0.25,147516080,$36879020,6/8/2012,
 STREAM EXCHANGE TRADED TRUST,BNPC,New York Stock Exchange,$25,25000000,$625000000,6/6/2012,
 AMREIT INC.,AMRE,New York Stock Exchange,$14,3650000,$51100000,7/27/2012,
 DEL FRISCO'S RESTAURANT GROUP INC.,DFRG,Nasdaq National Market,$13,5800000,$75400000,7/27/2012,
