SimpleFieldSearchExample
searching for e
Connecting to 50.19.46.133:8194
Sending Request: fieldSearchRequest = {
    searchSpec = "e"
    returnFieldDocumentation = false
}

FIELD ID     MNEMONIC                            DESCRIPTION                             
DS208        EQY_INST_SELLS                      Instit Owner # of Sellers               
DS209        EQY_INST_HOLD                       Instit Owner # of Holders               
DS207        EQY_INST_BUYS                       Instit Owner # of Buyers                
DS212        EQY_SH_PURCH_SOLD                   Instit Owner # of Shrs Purch / Sold     
IS097        IS_BASIC_EPS_CONT_OPS               Basic EPS from Continuing Operations    
CX001        EST_EV_THIS_YR_EBITDA               EV/This Year Est EBITDA                 
DS194        EQY_SIC_CODE                        SIC Code                                
IS147        IS_DIL_EPS_CONT_OPS                 Diluted EPS from Continuing Operations  
RR957        CURRENT_EV_TO_T12M_EBITDA           EV to Trailing 12M EBITDA               
RT014        EQY_TRR_PCT_MTD                     MTD Total Return %                      
IS148        IS_DIL_EPS_BEF_XO                   Diluted EPS before Extraordinary Items  
RT011        EQY_TRR_NET_1YR                     Total Return 1 Year Net                 
BE754        BEST_PE_RATIO_MARKET                BEst P/E Ratio Market Convention        
BS856        BS_TIER1_COM_EQUITY_RATIO           Tier 1 Common Equity Ratio              
DX936        EQY_CONSOL_FUND_AVAIL               Consolidated Fundamentals Available     
EZ017        BEST_CONS_EEPS_CUR_YR_DT            Cons Est EPS Cur Yr Dt                  
DS788        EXPECTED_REPORT_TIME                Expected Earnings Report Time           
DS231        EQY_RECENT_QT_END                   Most Recent Quarter End                 
RK167        EQY_RAW_BETA                        Raw Beta                                
DS787        EXPECTED_REPORT_TYP                 Expected Earnings Report Type           
DV024        EQY_DVD_YLD_REL                     Dividend Relative Yield                 
EZ001        BEST_EEPS_CURR_YR                   Est EPS Curr Year                       
RR025        EQY_DPS                             Dividends per Share                     
SW030        SW_EQV_BPV                          Equivalent Basis Point Value            
A0741        ARD_EQUIPMENT_EXPENSE               ARD Equipment Expense                   
RR052        TOT_DEBT_TO_EBITDA                  Total Debt to EBITDA                    
IS331        IS_AVG_VAR_EQUITY_RISK              Average VAR - Equity Risk               
IN005        INDX_ADJ_PX_EE                      Adjusted Price/Estimated Earnings       
IS901        IS_COMP_EPS_GAAP                    Estimate Comparable EPS GAAP            
RR841        TRAIL_12M_EBITDA                    Trailing 12M EBITDA                     
RT013        EQY_TRR_PCT_QTD                     QTD Total Return %                      
DS195        EQY_SIC_NAME                        SIC Name                                
RX079        EARN_YLD_HIST                       Earnings Yield                          
FO041        FUT_NOTL_EQV_YLD                    Futures Equivalent Yield Notional       
BE004        BEST_EBIT                           BEst EBIT                               
DS211        EQY_INST_PCT_SH_OUT                 Instit Owner % Shares Out               
IN002        INDX_WEIGHTED_EST_ERN               Weighted Estimated Earnings             
RR078        EFF_OF_EARN_ASSET                   Efficiency of Earning Assets            
RX054        FIVE_YR_AVG_PRICE_EARNINGS          Price / Earnings - 5 Year Average       
A0512        ARD_TOTAL_SHAREHOLDERS_EQUITY       ARD Total Shareholders Equity           
RR213        EARN_ASSET_GROWTH                   Earning Assets - 1 Yr Growth            
EE201        EQY_REC_CONS                        Recommendation Consensus                
A0045        ARD_CASH_AND_EQUIVALENTS            ARD Cash and Equivalents                
F0440        AVERAGE_PRICE_EARNINGS_RATIO        Average Price Earnings Ratio            
RR530        EARN_FOR_COMMON                     Net Income Available To Common Shareholders
RX026        NORMALIZED_ROE                      Normalized ROE                          
EE013        EARN_EST_CRNCY                      Earnings Estimates Currency             
M4370        CASH_AND_CE_MFG_OPERATIONS          Cash and Cash Equivalents Manufacturing Operations
IN841        BEST_PE_RATIO_MEDIAN                Bloomberg Estimated Price Earnings Median
DV112        EQY_DVD_IND_AMT                     Dividend Indicated Annualize Amount - Gross
RR950        5YR_AVG_RETURN_ON_EQUITY            5 Year Average Return On Equity         
IN001        T12_EPS_AGGTE                       Trailing Weighted EPS                   
DV073        EQY_DVD_CASH_EX_DT_NEXT             Next Cash Dividend Ex Date              
DV033        EQY_DVD_EX_FLAG                     Ex-Dividend Flag                        
RT017        EQY_TRR_3YR                         Funds - Total Return 3 Year - Ann       
AN029        MTG_EQV_CPR                         Equivalent CPR                          
A3133        ARD_GAIN_DISP_PROP_PLANT_EQUIP      ARD Gain On Disposal Of Property Plant & Equipment
EZ027        BEST_PE_CUR_YR                      BEst P/E Curr Year                      
RX220        NET_DEBT_TO_EBITDA                  Net Debt to EBITDA                      
RR246        EBIT_MARGIN                         Trailing 12M EBIT Margin                
IN071        EPS_BEF_XO_AGGTE                    EPS Before XO Aggregate                 
A1808        ARD_EQY_EARN_LOSS_FROM_AFFILIATE    ARD Equity Earnings/Loss From Affiliates
CX003        EST_EV_THIS_YR_EBIT                 EV/This Year Est EBIT                   
IS016        IS_TOT_NET_PREM_EARN                Tot Net Premiums Earned (Non-Life&Life) 
RT016        EQY_TRR_3MO                         Funds - Total Return 3 Month            
RR222        TOTAL_PREM_EARN_GROWTH              Total Premiums Earned - 1 Yr Growth     
DZ319        REMIC_ELIGIBLE                      Real Estate Mortgage Investment Conduit Eligible
BE412        BEST_EPS_YOY_GTH                    BEst EPS YoY Gwth                       
CX004        EXT_EV_NEXT_YR_EBIT                 EV/Next Yr Est EBIT                     
RT015        EQY_TRR_1MO                         Funds - Total Return 1 Month            
EE993        EPS_SURPRISE_LAST_QTR               EPS Surprise Last Quarter               
BE703        BEST_EPS_MARKET                     BEst EPS Market Convention              
BE702        BEST_EPS_MARKET_TYPE                BEst EPS Market Convention Type         
F0458        PX_ERN_RATIO_WITH_HIGH_CLOS_PX      Price Earnings Ratio with High Closing Price
F0459        PX_ERN_RATIO_WITH_LOW_CLOS_PX       Price Earnings Ratio with Low Closing Price
DX948        EARNINGS_CONF_CALL_DT               Earnings Conference Call Date           
DV040        EQY_DVD_STK_EX_DT_NEXT              Next Stock Dividend Ex Date             
RR018        EPS_ANNUALIZED                      EPS Annualized                          

RK006        EQY_SHARPE_RATIO_1YR                Sharpe Ratio - 1 Year                   
BE403        BEST_EPS_4WK_CHG                    BEst EPS 4 wk Chg                       
DV148        EQY_DVD_AMT_STAT                    Amount Status of Recent Dividend        
RR154        EARN_ASSET_TO_INT_BEAR_LIAB         Earning Assets to Interest Bearing Liabilities
RK005        EQY_ALPHA                           Alpha                                   
PR777        EBS_TOUCH_LOW                       EBS Touch Low                           
PR776        EBS_TOUCH_HIGH                      EBS Touch High                          
RR043        LT_DEBT_TO_COM_EQY                  LT Debt to Common Equity                
RT018        EQY_TRR_5YR                         Funds - Total Return 5 Year - Ann       
DV039        EQY_IND_DPS_ANNUAL_GROSS            Dividend Per Share Ind Annual - Gross   
RQ298        EQY_SH_FOREIGN_RT                   Shares Available To Foreign Investors (Realtime)
DV137        LOW_EQY_DVD_YLD_12M                 Low Dividend 12 Month Yield - Gross     
DV136        HIGH_EQY_DVD_YLD_12M                High Dividend 12 Month Yield - Gross    
EZ028        BEST_PE_NXT_YR                      BEst P/E Next Year                      
RK338        EQY_BETA_6M                         Beta - 6 Month                          
DV065        EQY_DPS_NET_5YR_GROWTH              Dividend Net 5yr Growth Rate            
EZ010        BEST_EST_PE_NXT_YR                  Est P/E Next Year                       
DS540        EQY_NMS                             Normal Market Size                      
BE404        BEST_EPS_3MO_CHG                    BEst EPS 3 mo Chg                       
DV054        EQY_DVD_RIGHT_EX_DT_NEXT            Next Rights Ex Date                     
EZ009        BEST_EST_PE_CUR_YR                  Est P/E Curr Year                       
CX005        PR_EPS_GROWTH_PLUS_YLD              Projected EPS Growth Plus Yield         
PR590        JSF_LOAN_LENT_EQUITY                Loan - Lent Equity Provided By Nisshokin (TSE)
F0196        PX_TO_EPS_BEFORE_ABNORMAL_ITEMS     Price to Earnings per Share Before Abnormal Items
